"","id_sampl","FID","strata_id","psu_id","population","ADM3_FR","ADM3_PCODE","ADM3_REF","ADM3ALT1FR","ADM3ALT2FR","ADM2_FR","ADM2_PCODE","ADM1_FR","ADM1_PCODE","SumDist","proba","survey_buffer","POINT_X","POINT_Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_featureNam","NEAR_pcode","Exclude","Include","Check Exclure","Visité (Oui/NON)","Jour visité","enquêtes faites","manque Enquètes?","Equipe","Responsable","Date enquête"
"475","id_57396",57395,"BF4901","UD-162",2204.72889085,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.0103854327122264,4,-1.52508916009,13.3074213394999,"8299","1.0214584992700001E-2","-1.5342549999999999","13.302913","Lioudougou","BF4901030015",NA,NA,NA,"oui",2020-07-23,4,0,2,"Robin",2020-07-27
"476","id_57395",NA,"BF4901","UC-162",1461.65359801,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.00688515724255971,4,-1.53193477752,13.3034690207,"8299","2.38591520415E-3","-1.5342549999999999","13.302913","Lioudougou","BF4901030015",NA,"X",NA,"oui",2020-07-23,4,0,2,"Robin",2020-07-27
"477","id_9583",9582,"BF51","WG-432",2082.87618507,"Po","BF510202",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.00440397858945567,4,-1.14858021451,11.1692167983,"1804","3.6156831505399999E-3","-1.145","11.169722","Po","BF5102020020",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"478","id_9781",9780,"BF51","WG-431",1411.88251471,"Po","BF510202",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.0029852472317747,4,-1.14858021451,11.1771214362,"1804","8.2200725094699993E-3","-1.145","11.169722","Po","BF5102020020",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"479","id_9783",9782,"BF51","WI-431",964.553401139,"Po","BF510202",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.00203942632665899,4,-1.13488898039,11.1771214362,"1804","1.2529340512E-2","-1.145","11.169722","Po","BF5102020020",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"480","id_30380",30379,"BF51","TQ-316",6.55270670935,"Saponé","BF510106","Sapone","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,1.38548706148801e-05,4,-1.6140821839,12.0861547898,"3723","7.42703203432E-3","-1.62","12.0816669999999","Poussouwaka","BF5101060091",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"481","id_60945",60944,"BF5403","PG-106",412.265150866,"Koumbri","BF540305",NA,"NA","NA","Yatenga","BF5403","Nord","BF54",480120.495738996,0.000858670176601075,4,-2.39448254418,13.746128741,"9336","1.39346082709E-2","-2.4","13.733333","Loanga","BF5403010002",NA,NA,NA,"oui",2020-07-21,4,0,3,"Robin",2020-07-24
"482","id_49973",49972,"BF5402","PT-220",120.03470756,"Yako","BF540210",NA,"NA","NA","Passoré","BF5402","Nord","BF54",298176.080925642,0.000402563167331768,4,-2.30548952047,12.8489523439,"6762","1.12264701437E-2","-2.3166669999999998","12.85","Louga","BF5402100016",NA,NA,NA,"oui",2020-08-04,4,0,3,"Robin",2020-08-02
"483","id_43215",43214,"BF5201","ADA-262",244.984453099,"Bilanga","BF520101",NA,"NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.000870410384489988,4,0.056248411585,12.5130052344,"5538","7.2423183176400004E-3","5.0000000000099999E-2","12.516667","Sekouantou","BF5201010038",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"484","id_45224",45223,"BF5201","ADF-250",604.29498431,"Bilanga","BF520101",NA,"NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.00214701228173889,4,0.0904764978421,12.6118132075999,"5818","1.3805123524899999E-2","8.3333000000000004E-2","12.6","Tyobou","BF5201010050",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"485","id_24991",24990,"BF51","TI-344",6.55270670935,"Saponé","BF510106","Sapone","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,1.38548706148801e-05,4,-1.66884712155,11.8648249297999,"3062","4.0047490443600002E-2","-1.6333329999999999","11.883333","Sambsin","BF5101030003",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"486","id_17463",17462,"BF50","SS-383",1590.22812348,"Sapouy","BF500406",NA,"NA","NA","Ziro","BF5004","Centre-Ouest","BF50",1015876.87494771,0.00156537486254114,4,-1.7783769965,11.5565440531,"2418","5.2081614344899997E-3","-1.773611","11.554444","Sapouy","BF5004060029",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"487","id_17465",17464,"BF50","SU-383",2671.08630116,"Sapouy","BF500406",NA,"NA","NA","Ziro","BF5004","Centre-Ouest","BF50",1015876.87494771,0.00262934058942673,4,-1.76468576219,11.5565440531,"2418","9.1689744724299995E-3","-1.773611","11.554444","Sapouy","BF5004060029",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"488","id_11779",11778,"BF51","VC-418",77.4448502869,"Guiaro","BF510201",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.000163747353285738,4,-1.35394873055,11.2798817278999,"2015","2.0902622454499999E-2","-1.3333330000000001","11.283333000000001","Saro","BF5102010016",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"489","id_24588",24587,"BF51","WK-346",828.71024407,"Béré","BF510301","Bere","NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.00175220313041517,4,-1.12119774593,11.849015654,"3001","2.1220588338500001E-2","-1.1000000000000001","11.85","Siguenoguin","BF5103010010",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"490","id_10164",10163,"BF50","RK-429",1280.57847119,"Léo","BF500303","Leo","NA","NA","Sissili","BF5003","Centre-Ouest","BF50",1015876.87494771,0.00126056464397412,4,-2.01112798112,11.192930712,"1870","8.9808442368999996E-3","-2.016667","11.1999999999999","Sisili","BF5003030024",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"491","id_50065",50064,"BF4902","AAP-220",522.876477013,"Zéguédéguen","BF490208","Zeguedeguen","NA","NA","Namentenga","BF4902","Centre-Nord","BF49",250865.399130486,0.00208429093380482,4,-0.375025471548,12.8489523439,"6790","8.3733274348499996E-3","-0.38333299999999998","12.85","Loulgou","BF4902080003",NA,NA,NA,"oui",2020-08-04,4,0,2,"Robin",NA
"492","id_14848",14847,"BF50","SF-400",61.8854863727,"Kassou","BF500403",NA,"NA","NA","Ziro","BF5004","Centre-Ouest","BF50",1015876.87494771,6.09182942331327e-05,4,-1.86737001976,11.4261175288,"2232","2.17765691319E-2","-1.888889","11.4227779999999","Sourou","BF5004030007",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"493","id_24792",24791,"BF51","UJ-345",168.728093607,"Doulougou","BF510101",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000356754240607887,4,-1.4840154572,11.8608726109,"3030","5.8344402537300003E-3","-1.483333","11.866667","Sulimissi","BF5101050006",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"494","id_29923",29922,"BF51","VD-318",1909.69524128,"Kombissiri","BF510105",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.00403780935960908,4,-1.34710311337,12.0742978329999,"3706","4.5657615419699999E-3","-1.351667","12.0741669999999","Tampouitenga","BF5101050078",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"495","id_15888",15887,"BF51","XV-394",96.5025414752,"Gogo","BF510303",NA,"NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.000204042433982006,4,-0.867909909515,11.4735453561,"2274","1.7427789425599999E-2","-0.85694400000000004","11.46","Tiougou","BF5103030003",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
