list_name,name,label,info_admin3,info_admin2,info_admin1,info_base
oui_non,oui,Oui,NA,NA,NA,NA
oui_non,non,Non,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
oui_non_na,oui,Oui,NA,NA,NA,NA
oui_non_na,non,Non,NA,NA,NA,NA
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
modalite,direct,Face à face,NA,NA,NA,NA
modalite,telephone,Telephone,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
situation_matrimoniale,marie_monogame,Marié - Monogame,NA,NA,NA,NA
situation_matrimoniale,marie_polygame,Marié - Polygame,NA,NA,NA,NA
situation_matrimoniale,marie_veuf,Veuf/veuve,NA,NA,NA,NA
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",NA,NA,NA,NA
situation_matrimoniale,celibataire,Celibataire,NA,NA,NA,NA
situation_matrimoniale,divorce,Divorcé/e,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
chef_profession,agriculteur,Agriculteur,NA,NA,NA,NA
liste_probleme_abri,autre,Autre,NA,NA,NA,NA
liste_probleme_abri,nsp,Je ne sais pas/Je ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_article,kit_bebe,Articles pour les soins des bébés,NA,NA,NA,NA
liste_article,kit_fem,Articles d'hygiène pour femmes,NA,NA,NA,NA
liste_article,couverture,Couverture,NA,NA,NA,NA
liste_article,natte,Natte de couchage,NA,NA,NA,NA
liste_article,bidon,Bidon,NA,NA,NA,NA
liste_article,casserole,Casserole,NA,NA,NA,NA
liste_article,moustiquaire,Moustiquaire,NA,NA,NA,NA
liste_article,seau,Seau,NA,NA,NA,NA
liste_article,savon,Savon,NA,NA,NA,NA
liste_article,corde,Corde,NA,NA,NA,NA
liste_article,aucun,Aucun,NA,NA,NA,NA
liste_article,autre,Autre,NA,NA,NA,NA
liste_article,nsp,Je ne sais pas,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
lieu_accouche,maison,A la maison/domicile d'une tierce personne,NA,NA,NA,NA
lieu_accouche,centre_sante,"A la maternité / (hôpital, centre de santé, poste de santé, dispensaire, etc.)",NA,NA,NA,NA
lieu_accouche,autre,Autre (merci de préciser),NA,NA,NA,NA
lieu_accouche,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
accouche_domicile,centre_ferme,"La maternité ou centre de santé était fermée, non fonctionnelle ou en mauvais état, en manque de personnels de santé",NA,NA,NA,NA
accouche_domicile,maternite_pas_sur,L'accès à la maternité ou centre de santé n'était pas sûr,NA,NA,NA,NA
accouche_domicile,centre_financ_inacc,La maternité ou centre de santé était financièrement inaccessible,NA,NA,NA,NA
accouche_domicile,physique_mere,Physiquement impossible pour la mère enceinte de se rendre à la maternité ou centre de santé,NA,NA,NA,NA
accouche_domicile,centre_surpeuple,La maternité ou centre de santé est surpeuplé,NA,NA,NA,NA
accouche_domicile,accouche_assiste_domicil,J'ai bénéficié d'un accouchement assisté par un personnel de santé à domicile,NA,NA,NA,NA
accouche_domicile,rejoindre_centre,Je ne souhaite pas rejoindre une maternité ou centre de santé pour accoucher (pour causes de coutumes / traditions ; je ne pense pas que cela soit nécessaire),NA,NA,NA,NA
accouche_domicile,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_temps,moins_15mn,Moins de 15 minutes,NA,NA,NA,NA
liste_temps,15_30mn,Entre 15 et moins 30 minutes,NA,NA,NA,NA
liste_temps,30mn_1h,Entre 30 minutes et moins d'une heure,NA,NA,NA,NA
liste_temps,1h_3h,Entre une heure moins de 3 heures,NA,NA,NA,NA
liste_temps,3h_et_plus,Plus de 3h,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
symptome,fievre,Fièvre,NA,NA,NA,NA
symptome,diarrhee,Diarrhée aigue,NA,NA,NA,NA
symptome,toux,Toux,NA,NA,NA,NA
symptome,respiratoire,Difficultés respiratoire,NA,NA,NA,NA
symptome,maux_tete,Maux de tête chroniques,NA,NA,NA,NA
symptome,trouble_mentaux,Troubles mentaux,NA,NA,NA,NA
symptome,autre,Autres (merci de préciser),NA,NA,NA,NA
symptome,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
soins,maison,"Oui, à la maison",NA,NA,NA,NA
soins,centre_sante,"Oui, dans un centre de santé",NA,NA,NA,NA
soins,ailleurs,"Oui, ailleurs",NA,NA,NA,NA
soins,non,Non,NA,NA,NA,NA
soins,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
raison_non_service,infra_detruit_catastroph,"Les infrastructures ont été détruites par des catastrophes naturelles (inondation, incendie, etc.)",NA,NA,NA,NA
raison_non_service,infra_detruit_combat,Les infrastructures ont été détruites durant les combats,NA,NA,NA,NA
raison_non_service,pas_infra,Il n'y a jamais eu d'infrastructures de santé à proximité,NA,NA,NA,NA
raison_non_service,pas_medicament,Il n'y a pas de médicaments disponibles,NA,NA,NA,NA
raison_non_service,pas_travailleur,Il n'y a pas de travailleurs de santé dans la zone,NA,NA,NA,NA
raison_non_service,insecurite,L'insécurité est trop forte dans la zone,NA,NA,NA,NA
raison_non_service,infra_distant,Les infrastructures sont trop éloignées,NA,NA,NA,NA
raison_non_service,pas_finance,Le ménage n’a pas les ressources financières pour s’octroyer des soins médicaux,NA,NA,NA,NA
raison_non_service,qualite_soins,Le ménage estime que la qualité des soins fournis n’est pas suffisante,NA,NA,NA,NA
raison_non_service,autre,Autre,NA,NA,NA,NA
raison_non_service,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_maladie,palu,Paludisme,NA,NA,NA,NA
liste_maladie,infect_respiratoire,"Infection respiratoire aigue,",NA,NA,NA,NA
liste_maladie,diarrhee,Maladies diarrhéiques,NA,NA,NA,NA
liste_maladie,autre,Autre,NA,NA,NA,NA
liste_maladie,nsp,Je ne sais pas / ne souhaite pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
cause_deces,accident_travail,Décès suite à un accident de travail,NA,NA,NA,NA
cause_deces,accident_conflit,Décès suite à un accident lié au conflit armé (conflit / violence),NA,NA,NA,NA
cause_deces,accident_route,"Décès suite à un accident de la route (accident de voiture, moto, bus, etc.)",NA,NA,NA,NA
cause_deces,catastrophe_natu,"Décès suite à une catastrophe naturelle (inondation, éboulements de terrain, incendie, etc.)",NA,NA,NA,NA
cause_deces,en_couche,Décès durant / suite à un accouchement,NA,NA,NA,NA
cause_deces,morsure,Décès suite à une morsure / piqûre animale / attaque animale (Paludisme / Rage),NA,NA,NA,NA
cause_deces,diarrhee,"Décès suite à une maladie (diarrhée, liquide ou sanglante)",NA,NA,NA,NA
cause_deces,problemes_respi,Décès suite à des difficultés respiratoires,NA,NA,NA,NA
cause_deces,autre_maladie,Décès suite à une maladie (autre),NA,NA,NA,NA
cause_deces,faim,Décès suite à un manque de nourriture (Famine / Malnutrition),NA,NA,NA,NA
cause_deces,deces_natu,Causes naturelles de décès (ex. âge),NA,NA,NA,NA
cause_deces,autre,Autre,NA,NA,NA,NA
cause_deces,npr,Pas de réponse/ Je ne souhaite pas répondre,NA,NA,NA,NA
cause_deces,nsp,Je ne sais pas,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
oui_non_npr,oui,Oui,NA,NA,NA,NA
oui_non_npr,non,Non,NA,NA,NA,NA
oui_non_npr,nsp,Je ne sais pas,NA,NA,NA,NA
oui_non_npr,npr,Je préfère ne pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
centre_nutritionnel,centre_nutrition,Un centre qui offre des services nutritionnels,NA,NA,NA,NA
centre_nutritionnel,centre_mob_nutrition,Des services mobiles de nutrition,NA,NA,NA,NA
centre_nutritionnel,aucun,Aucun service nutritionnel,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
temps_service_nut,moins_15mn,Moins de 15 minutes,NA,NA,NA,NA
temps_service_nut,entre_15_30mn,Moins de 30 minutes,NA,NA,NA,NA
temps_service_nut,entre_31mn_1h,Moins de 1h,NA,NA,NA,NA
temps_service_nut,plus_1h,Moins de 3h,NA,NA,NA,NA
temps_service_nut,plus_3h,Plus de 3h,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_service_nut,malnu_severe_eft,Prise en charge de la malnutrition sévère des enfants,NA,NA,NA,NA
liste_service_nut,malnu_moderer_eft,Prise en charge de la malnutrition modérée des enfants,NA,NA,NA,NA
