list_name,name,label,info_base,info_admin1,info_admin2,info_admin3
oui_non,oui,Oui,,,,
oui_non,non,Non,,,,
oui_non_na,oui,Oui,,,,
oui_non_na,non,Non,,,,
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),,,,
modalite,direct,Face à face,,,,
modalite,telephone,Telephone,,,,
situation_matrimoniale,marie_monogame,Marié - Monogame,,,,
situation_matrimoniale,marie_polygame,Marié - Polygame,,,,
situation_matrimoniale,marie_veuf,Veuf/veuve,,,,
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",,,,
situation_matrimoniale,celibataire,Celibataire,,,,
situation_matrimoniale,divorce,Divorcé/e,,,,
chef_profession,agriculteur,Agriculteur,,,,
chef_profession,eleveur,Eleveur,,,,
chef_profession,pecheur_chasseur,Pêcheur / chasseur,,,,
chef_profession,fonctionnaire,Fonctionnaire (sauf professeur),,,,
chef_profession,professeur,Professeur / maître d'école,,,,
chef_profession,etudiant,Etudiant/Elève,,,,
chef_profession,chef,Chef communautaire,,,,
chef_profession,prive,Travailleur du secteur privé,,,,
chef_profession,commercant,Commerçant,,,,
chef_profession,transporteur,Transporteur,,,,
liste_probleme_abri,aucun,Aucun problème,,,,
liste_probleme_abri,autre,Autre,,,,
liste_probleme_abri,nsp,Je ne sais pas/Je ne souhaite pas répondre,,,,
liste_article,kit_bebe,Articles pour les soins des bébés,,,,
liste_article,kit_fem,Articles d'hygiène pour femmes,,,,
liste_article,couverture,Couverture,,,,
liste_article,natte,Natte de couchage,,,,
liste_article,bidon,Bidon,,,,
liste_article,casserole,Casserole,,,,
liste_article,moustiquaire,Moustiquaire,,,,
liste_article,seau,Seau,,,,
liste_article,savon,Savon,,,,
liste_article,corde,Corde,,,,
liste_article,aucun,Aucun,,,,
liste_article,autre,Autre,,,,
liste_article,nsp,Je ne sais pas,,,,
lieu_accouche,maison,A la maison/domicile d'une tierce personne,,,,
lieu_accouche,centre_sante,"A la maternité / (hôpital, centre de santé, poste de santé, dispensaire, etc.)",,,,
lieu_accouche,autre,Autre (merci de préciser),,,,
lieu_accouche,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
accouche_domicile,centre_ferme,"La maternité ou centre de santé était fermée, non fonctionnelle ou en mauvais état, en manque de personnels de santé",,,,
accouche_domicile,maternite_pas_sur,L'accès à la maternité ou centre de santé n'était pas sûr,,,,
accouche_domicile,centre_financ_inacc,La maternité ou centre de santé était financièrement inaccessible,,,,
accouche_domicile,physique_mere,Physiquement impossible pour la mère enceinte de se rendre à la maternité ou centre de santé,,,,
accouche_domicile,centre_surpeuple,La maternité ou centre de santé est surpeuplé,,,,
accouche_domicile,accouche_assiste_domicil,J'ai bénéficié d'un accouchement assisté par un personnel de santé à domicile,,,,
